iter	RMSE
0	300.7730292
1	283.5935759
2	267.1370324
3	251.969578
4	237.7396828
5	224.2798122
6	211.9412388
7	199.7974424
8	188.5562213
9	177.8847834
10	167.7485383
11	158.3041739
12	149.664858
13	141.2946667
14	133.4011977
15	126.0808731
16	119.1372815
17	112.5546713
18	106.412693
19	100.5331707
20	95.08670845
21	89.88325101
22	84.9257355
23	80.36804195
24	76.1639753
25	72.17558787
26	68.38854319
27	64.76391606
28	61.37005389
29	58.25403836
30	55.31037328
31	52.53179496
32	49.95780972
33	47.49855176
34	45.28386452
35	43.14433408
36	41.20045368
37	39.37122376
38	37.66714278
39	36.05172505
40	34.50669029
41	33.09421844
42	31.8205941
43	30.6184362
44	29.53747691
45	28.48746517
46	27.57945859
47	26.63758371
48	25.79475347
49	25.02617891
50	24.31363631
51	23.68024638
52	23.07563273
53	22.46556912
54	21.90137504
55	21.39144073
56	20.9166601
57	20.4974996
58	20.07296627
59	19.66879371
60	19.31157389
61	18.97564192
62	18.66667684
63	18.3855375
64	18.10537465
65	17.87521325
66	17.61057917
67	17.36128839
68	17.16274578
69	16.96492224
70	16.77369474
71	16.58271982
72	16.40183961
73	16.24371213
74	16.07772639
75	15.90908895
76	15.74623297
77	15.63252225
78	15.51551581
79	15.40642888
80	15.26989492
81	15.13752464
82	15.01528639
83	14.89913517
84	14.79503981
85	14.69548931
86	14.61141809
87	14.50892601
88	14.41335719
89	14.3095425
90	14.21844214
91	14.13934638
92	14.05850417
93	13.97790909
94	13.90471599
95	13.82900332
96	13.75966367
97	13.70714997
98	13.62852993
99	13.54841765
100	13.48866817
101	13.40149404
102	13.32855171
103	13.28517524
104	13.19491698
105	13.15774867
106	13.10764597
107	13.03460947
108	12.97811513
109	12.92234352
110	12.86925154
111	12.80739564
112	12.74163965
113	12.70918177
114	12.6408409
115	12.58364818
116	12.52578221
117	12.45599496
118	12.42124914
119	12.34307509
120	12.30494992
121	12.25821602
122	12.2181964
123	12.17391232
124	12.1474341
125	12.0895332
126	12.01544349
127	11.97967757
128	11.91377355
129	11.89298225
130	11.85533014
131	11.81879542
132	11.79261251
133	11.75567805
134	11.71492284
135	11.66861272
136	11.63592116
137	11.58126554
138	11.51414847
139	11.48176091
140	11.43679769
141	11.39552654
142	11.35146137
143	11.31307013
144	11.25246664
145	11.22655974
146	11.20462952
147	11.16691292
148	11.14057562
149	11.10120568
150	11.07340442
151	11.03526622
152	11.00547412
153	10.95091446
154	10.90723796
155	10.85498587
156	10.82445102
157	10.7735446
158	10.74766919
159	10.70109742
160	10.65552176
161	10.62622135
162	10.57216776
163	10.51859509
164	10.49463468
165	10.47805139
166	10.43987949
167	10.39426201
168	10.35536031
169	10.3295839
170	10.30375688
171	10.2732615
172	10.25322857
173	10.23019316
174	10.21082597
175	10.18419447
176	10.144369
177	10.09439116
178	10.04502469
179	10.01623042
180	9.982583406
181	9.958364259
182	9.911168287
183	9.893170045
184	9.844594124
185	9.824268961
186	9.808421689
187	9.783889637
188	9.743267438
189	9.700933196
190	9.678504839
191	9.649123911
192	9.612121564
193	9.590265742
194	9.579375103
195	9.562332595
196	9.523875802
197	9.488231712
198	9.469942639
199	9.455773384
200	9.423854984
201	9.386048303
202	9.362039503
203	9.34363059
204	9.325245164
205	9.315134695
206	9.269465399
207	9.254830855
208	9.208077703
209	9.164369497
210	9.148603134
211	9.132949424
212	9.115408748
213	9.085516554
214	9.051518666
215	9.023949945
216	9.004054361
217	8.966076067
218	8.95316664
219	8.92822026
220	8.908538611
221	8.881870239
222	8.843883897
223	8.831904751
224	8.803823254
225	8.775164926
226	8.756191035
227	8.725431311
228	8.699086789
229	8.679577079
230	8.659766899
231	8.645616697
